id,slug,type,country,logo_id,colors_primary,colors_secondary,updated_at,created_at,api_hockey_id
1qaz2wsx3edc4rfv5tgb6yhn,sui,national,,j7dgmbh7d0apn78o7a2vntaq,#FF0000,#FFFFFF,2026-01-24 22:34:57.683+00,2026-01-20 21:22:21.919+00,
aad0z87u1lfdld9qq3syqi6q,st-louis-blues,club,USA,kxpti1c947dvi7g24ey9hkka,#000000,#FFFFFF,2026-02-26 19:32:01.751+00,2026-02-26 19:26:12.106+00,698
ac89heia4wpmrxlav95g2nsi,seattle-kraken,club,USA,j02d5qong5czrslqb7bmil9l,#000000,#FFFFFF,2026-02-26 19:32:00.059+00,2026-02-26 19:26:11.288+00,1436
aek9kjtg9rsm1jocs2b4jb8d,vegas-golden-knights,club,USA,xf4zlgt19shbcfmsc1b2nnub,#000000,#FFFFFF,2026-02-26 19:32:11.311+00,2026-02-26 19:26:17.045+00,702
b9c0d1e2f3g4h5i6j7k8l9m0,hk-dukla-michalovce,club,SVK,v1t2uh5kg9w5fvcecw5avbmi,#F68B1F,#000000,2026-02-09 02:02:11.779+00,2026-01-20 21:19:18.697+00,498
bc1shxyiojqaokw7ssfbdecy,trnava,club,SVK,jt7pp5fvfr4pkj7w4ii37bfn,#000000,#ffffff,2026-02-09 22:00:47.283+00,2026-02-09 20:57:12.956+00,490
bim4p58po0wak6razcdl3lbu,,national,,s5nxq4r95ycxfiv6t8atfwdt,#000000,#ffffff,2026-02-09 20:57:11.816+00,2026-02-09 20:57:11.816+00,487
bj9v45j33fm5cnfyxnx20qpm,philadelphia-flyers,club,USA,v8ozwaem5pumdi7ytdwjf7d0,#000000,#FFFFFF,2026-02-26 19:31:54.705+00,2026-02-26 19:22:09.586+00,695
bke8df06v4fmm5lkyvjddvhr,montreal-canadiens,club,USA,o6d1j9wq1uuuf068d23l3l4o,#000000,#FFFFFF,2026-02-26 19:31:44.11+00,2026-02-26 19:22:04.3+00,688
d5e6f7g8h9i0j1k2l3m4n5o6,hk-32-liptovsky-mikulas,club,SVK,a8aqedpnahejx7rh18nqbx3c,#E31E24,#FFFFFF,2026-02-09 02:01:59.244+00,2026-01-20 21:19:18.697+00,497
d8wvv5sq5t3avg2r69npe8mu,,club,,gl2w95rc5v9mh0bz8lxjgjcw,#000000,#ffffff,2026-02-09 20:57:09.227+00,2026-02-09 20:57:09.227+00,2231
e2pykmkooqocbx8fj9sjhjpl,utah-mammoth,club,USA,ughqzlskaml93trwjmf506kd,#000000,#FFFFFF,2026-02-26 19:32:07.66+00,2026-02-26 19:26:14.776+00,2483
e7xq9q6m6pjsfgdj3wyjb2cx,topolcany,club,SVK,db0bipupdk5kleoy81iu8wqi,#000000,#ffffff,2026-02-09 22:01:37.681+00,2026-02-09 20:57:12.58+00,489
ekpd3u84tk6657j1weimlb80,,club,,peb1736jhhwo57spsq1ozxgi,#000000,#ffffff,2026-02-09 20:57:08.553+00,2026-02-09 20:57:08.553+00,482
f1g2h3i4j5k6l7m8n9o0p1q2,hc-slovan-bratislava,club,SVK,osa0kquluh927nmzfl9dp91j,#003366,#FFFFFF,2026-02-09 02:03:04.849+00,2026-01-20 21:19:18.697+00,502
f3c63n9g6lqr5hseu530syq8,florida-panthers,club,USA,u3ymqn7oh5409pb3b4w6768f,#000000,#FFFFFF,2026-02-26 19:31:38.885+00,2026-02-26 19:22:01.677+00,684
fq521qu6u08tpdsjc6v607p5,fra,national,,imaiyv2pbzxw0c362mhup185,#002395,#ffffff,2026-01-24 22:34:25.437+00,2026-01-21 20:06:56.296+00,
gevo1m85ta8et2ydhciqdb73,anaheim-ducks,club,USA,i6jfxtu6rp8ld124c3m85689,#000000,#FFFFFF,2026-02-26 19:31:19.165+00,2026-02-26 19:21:52.39+00,670
h7i8j9k0l1m2n3o4p5q6r7s8,hc-05-banska-bystrica,club,SVK,l38vazqij51xo3uqxomuspsq,#E31E24,#000000,2026-02-09 02:01:15.549+00,2026-01-20 21:19:18.697+00,492
j3k4l5m6n7o8p9q0r1s2t3u4,hk-nitra,club,SVK,a1be6kzt89psmsez5sxke8xs,#003D7C,#FFFFFF,2026-02-09 02:02:24.677+00,2026-01-20 21:19:18.697+00,499
j4h5g6f7d8s9a0p1o2i3u4y5,cze,national,,f4je88q78cavr9hfkbo499by,#D7141A,#FFFFFF,2026-01-24 22:34:36.26+00,2026-01-20 21:22:21.919+00,
jdtu11rxcmifimpy3gga7wc8,,club,,jan168hipvl5iugt0srtk4a0,#000000,#ffffff,2026-02-09 20:57:10.147+00,2026-02-09 20:57:10.147+00,484
jnznxuqqpyu2wvrqy5uelufq,ziar-nad-hronom,club,SVK,m758zw3se6d75fqka86q636m,#000000,#ffffff,2026-02-09 21:59:59.862+00,2026-02-09 20:57:13.4+00,1164
jq1j8yoccy6oord1t1vdbnzo,,club,,a0k70x9xpca9tawgpqjmalln,#000000,#ffffff,2026-02-09 20:57:11.031+00,2026-02-09 20:57:11.031+00,485
k0vfrngpwjj4qk321hms1jvh,,club,,v4gdzg41x9xzdlpr3wqel39q,#000000,#ffffff,2026-02-09 20:57:11.44+00,2026-02-09 20:57:11.439+00,486
kgdb17a6gfove164t2zema69,winnipeg-jets,club,USA,kxhzao0r2tnbfj7t9evf7uil,#000000,#FFFFFF,2026-02-26 19:32:14.644+00,2026-02-26 19:26:18.665+00,704
kr5200wmyj1b6e856yeyyph5,hc-presov,club,SVK,c2f6wnawi7geuk9dl27nkj7s,#E31E24,#ffffff,2026-02-09 02:02:51.299+00,2026-02-04 18:16:18.589+00,878
ky7x9r2m5k8l1n3p4q6s0t2v,svk,national,,wz9ikes4wn284c2v5znkklck,#0B2265,#FFFFFF,2026-01-24 22:36:03.121+00,2026-01-20 21:22:21.919+00,
laksjdhfgqpwoeirutyznvm1,ger,national,,snw547mwyxnx8yg53a2t94w3,#000000,#FFCE00,2026-01-24 22:35:07.819+00,2026-01-20 21:22:21.919+00,
livjk367dz0y9w68rfbzuj6h,vancouver-canucks,club,USA,yqthz6q5xl322ktx4r9qv4ak,#000000,#FFFFFF,2026-02-26 19:32:09.47+00,2026-02-26 19:26:16.132+00,701
mju7nhy6bgt5vfr4cde3xsw2,dan,national,,cjdmfpzh3xm9701054ywly8u,#C60C30,#FFFFFF,2026-01-24 22:36:49.66+00,2026-01-20 21:22:21.919+00,
mnbvcxzasdfghjklpoiuytre,swe,national,,iirb3if5ffokqpnp0r2avgz7,#FECC00,#0038A8,2026-01-24 22:36:15.729+00,2026-01-20 21:22:21.919+00,
mxtxzdc206dy4fflnum7wlql,buffalo-sabres,club,USA,h2dz6v3wxjie6jd24n036m98,#000000,#FFFFFF,2026-02-26 19:31:22.789+00,2026-02-26 19:21:54.102+00,674
n1o2p3q4r5s6t7u8v9w0x1y2,vlci-zilina,club,SVK,lngyp8bzwgsotk7ed1309k66,#007A33,#FFCC00,2026-02-09 02:03:31.313+00,2026-01-20 21:19:18.697+00,491
ntwii4nqx34dtcomyvnn3du6,los-angeles-kings,club,USA,wq7gab0uogi3zomrx2x82ua8,#000000,#FFFFFF,2026-02-26 19:31:40.542+00,2026-02-26 19:22:02.493+00,685
o8z4y5p9q2a1b3c5d7e9f0g1,hc-kosice,club,SVK,rddbjd937vi5e2fphrlww1r6,#F26F21,#000000,2026-02-09 02:01:46.047+00,2026-01-20 21:19:18.697+00,496
p2is50977u6818giebpc83ac,chicago-blackhawks,club,USA,l96za0wdw67r7uxafb4plar3,#000000,#FFFFFF,2026-02-26 19:31:28.166+00,2026-02-26 19:21:56.777+00,678
p2qpzbj4j1u09p1ou55zt0by,dallas-stars,club,USA,ifd340zyuvm7tgvdh2qd2gh9,#000000,#FFFFFF,2026-02-26 19:31:33.674+00,2026-02-26 19:21:59.222+00,681
p8qedae0rtpzt0m28xzrgdev,new-york-islanders,club,USA,v2uy87z1fbo42e3w33cs797g,#000000,#FFFFFF,2026-02-26 19:31:49.459+00,2026-02-26 19:22:06.926+00,691
pffio7conwiiwoze3z4rylfr,washington-capitals,club,USA,z8xdaibkar827xk92h7pyvk8,#000000,#FFFFFF,2026-02-26 19:32:13.097+00,2026-02-26 19:26:17.816+00,703
pl0ok9ij8uh7yg6tf5rd4es3,tal,national,,fg4m7tdfwnswqzonckwtendx,#0066BC,#FFFFFF,2026-01-24 22:35:30.411+00,2026-01-20 21:22:21.919+00,
q1w2e3r4t5y6u7i8o9p0a1s2,fin,national,,gf88ns8l9koarngwsm0s6jtq,#FFFFFF,#003580,2026-01-24 22:35:45.816+00,2026-01-20 21:22:21.919+00,
q4nlcr62ro2qwb0ycmr7rll3,minnesota-wild,club,USA,xpapcz0l754bd8afa4z471q8,#000000,#FFFFFF,2026-02-26 19:31:42.188+00,2026-02-26 19:22:03.437+00,687
q4wa8tqs7txm6knojl3m65s2,,club,,rs6bmlm6zv5wpu17g6xuy2r5,#000000,#ffffff,2026-02-09 20:57:10.601+00,2026-02-09 20:57:10.6+00,500
r3s4t5u6v7w8x9y0z1a2b3c4,hk-dukla-trencin,club,SVK,m1dh98f3vqthdzviw7xsso70,#E31E24,#FFCC00,2026-02-09 02:01:31.445+00,2026-01-20 21:19:18.697+00,495
rp1izzvf46dp9hi26dpwxt9h,tampa-bay-lightning,club,USA,lobv2ofj9y55kopu44nu8yu2,#000000,#FFFFFF,2026-02-26 19:32:04.484+00,2026-02-26 19:26:12.895+00,699
s039qrr2jdxok9jo9x8dadxa,carolina-hurricanes,club,USA,mcxf2mgd5zlxtgcrowsud02q,#000000,#FFFFFF,2026-02-26 19:31:26.166+00,2026-02-26 19:21:55.951+00,676
s7lg5pepsvg6nbtngnqk5u2r,new-jersey-devils,club,USA,ivrocihw7ldhkq8xw4sixx6c,#000000,#FFFFFF,2026-02-26 19:31:47.494+00,2026-02-26 19:22:06.101+00,690
sc8pg4fr4jp7292tt7xibobl,columbus-blue-jackets,club,USA,eiidnahgudmwig1hd3lc7j2x,#000000,#FFFFFF,2026-02-26 19:31:32.086+00,2026-02-26 19:21:58.398+00,680
t1sa8foqm1vpug3s8pnqgzvd,pittsburgh-penguins,club,USA,ogpfptzi3oppvyq5py4mlof9,#000000,#FFFFFF,2026-02-26 19:31:56.515+00,2026-02-26 19:26:09.429+00,696
t9u0v1w2x3y4z5a6b7c8d9e0,hkm-zvolen,club,SVK,unh9wkpca8gtakn4hhkfpigh,#22335E,#003D7C,2026-02-09 02:03:45.063+00,2026-01-20 21:19:18.697+00,503
tgvgp83qdf10ohe0yy57e4iw,,club,,c71jobtrwaphbr8vhwzqlia6,#000000,#ffffff,2026-02-09 20:57:08.143+00,2026-02-09 20:57:08.143+00,481
tjpjzqphdmetl4xq9n4g9kkx,boston-bruins,club,USA,fyto05gchwoahx8b3eyg5adr,#000000,#FFFFFF,2026-02-26 19:31:21.095+00,2026-02-26 19:21:53.193+00,673
tvs3td15i2e7o7nea7wyxsv6,toronto-maple-leafs,club,USA,x9dqclhgxufkg6ls3w06fh7h,#000000,#FFFFFF,2026-02-26 19:32:06.039+00,2026-02-26 19:26:13.982+00,700
ujfqmhronfrnl99rldwt77tw,edmonton-oilers,club,CAN,whirxcvj5zdyyzljv1qfthhf,#000000,#FFFFFF,2026-02-26 19:31:37.159+00,2026-02-26 19:22:00.867+00,683
un0pchtt2a1ol6h8irkzew9b,nashville-predators,club,USA,ijjdpdfv8xifzsddknyrnd1f,#000000,#FFFFFF,2026-02-26 19:31:45.78+00,2026-02-26 19:22:05.06+00,689
v5w6x7y8z9a0b1c2d3e4f5g6,hk-poprad,club,SVK,e89vs07iiactk82i7jpp226e,#005DAA,#FFFFFF,2026-02-09 02:02:36.382+00,2026-01-20 21:19:18.697+00,501
vch78bb4gj93f5cerygi49if,ottawa-senators,club,USA,b9lyajjgddfbtw215cqzicd7,#000000,#FFFFFF,2026-02-26 19:31:53.036+00,2026-02-26 19:22:08.571+00,693
vs1quxu6cr1o2b9kgwfhj2j3,colorado-avalanche,club,USA,ma39uu0t3d9ejpms7ap0ev2y,#000000,#FFFFFF,2026-02-26 19:31:30.019+00,2026-02-26 19:21:57.571+00,679
vuuc9di1vy6nf1du7ed28xho,detroit-red-wings,club,USA,q6wxwtx4bhbu9eatdhw5pv2b,#000000,#FFFFFF,2026-02-26 19:31:35.574+00,2026-02-26 19:22:00.051+00,682
w2e3r4t5y6u7i8o9p0a1s2d3,can,national,,p6as3skumqwedyq0gbt0eg2p,#FF0000,#000000,2026-01-24 22:36:56.084+00,2026-01-20 21:22:21.919+00,
wb9q96wax09c9oxlsnjgrkf0,new-york-rangers,club,USA,xwl9lgnz35a1hvyoz785um5y,#000000,#FFFFFF,2026-02-26 19:31:51.193+00,2026-02-26 19:22:07.743+00,692
wqsxsr6pbf6frhz5hd89ouhq,tebs-bratislava,club,SVK,va8l43u0z9uviqvqss47927e,#000000,#ffffff,2026-02-09 22:03:02.038+00,2026-02-09 20:57:12.204+00,1156
x1y2z3a4b5c6d7e8f9g0h1i2,hk-spisska-nova-ves,club,SVK,qqbyaydygwtjhy7k08ygk4ib,#005DAA,#FFCC00,2026-02-09 02:03:17.389+00,2026-01-20 21:19:18.697+00,488
xyrpd5kxq30yuak47rhysyue,san-jose-sharks,club,USA,xmbkagnqzwchfssesvpy0d5y,#000000,#FFFFFF,2026-02-26 19:31:58.44+00,2026-02-26 19:26:10.468+00,697
y753ajioamngfwl172adzgwh,calgary-flames,club,USA,p6m11m88554iqsef8tf08ok4,#000000,#FFFFFF,2026-02-26 19:31:24.51+00,2026-02-26 19:21:55.101+00,675
zaq1xsw2cde3vfr4bgt5nhy6,lat,national,,tvkpw6hnha4hrdxkosy0ui4f,#9E3039,#FFFFFF,2026-01-24 22:35:19.212+00,2026-01-20 21:22:21.919+00,
zi3p0ax1sneg46qp0peqkirr,,club,,oudk1et47h9bjh8dk3zij30b,#000000,#ffffff,2026-02-09 20:57:09.608+00,2026-02-09 20:57:09.608+00,2435
zxcvbnm123456asdfghjkl78,usa,national,,ibkciojq9n54a38ti8yycq0e,#002868,#BF0A30,2026-01-24 22:34:47.474+00,2026-01-20 21:22:21.919+00,