location_country_id,location_custom_country,location_region_id,id,_locale,_parent_id
1,,6,620,sk,ifbmej0sk8ejk98atrciydwf
,,,622,sk,y9wjuubrg4dxbdhx04lcm9vs
,,,734,sk,tvp23g05v2peakoc9pw4ls5u
,,,800,sk,nhnbqbq9qmo0ddp9dzovn8v0
,,,812,sk,r8d9jgjxm339ygxducyv1p68
,,,813,sk,sralrgp7fq22ikn8nebtbkg3
,,,814,sk,ygamqbzkft5xho7zxupbdufu
,,,816,sk,tb08y7rz53phyd0dawphie81
,,,819,sk,s75srh7yvkprfft2oofqqiau
1,,5,840,sk,wvbf66gsva8yllzbtcxsi676
,,,934,sk,wct2dpwdaebbcbdjtlreesz1
,,,947,sk,zh6zbcp4vhoimirdlabdmpd0
1,,5,948,sk,c3izdiep1l0wzyma3z5bxn8a